Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
On Tai Building,安泰大樓,,,,,45/51 Ting On St.,定安街45/51號,,,,,1973,P,,
On Tai Estate,安泰邨,,,,,20 On Sau Rd.,安秀道20號,,,,,-,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Chi Tai House (Block 2),智泰樓 (第2座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Fung Tai House (Block 8),豐泰樓 (第8座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Hang Tai House (Block 6),恒泰樓 (第6座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Kam Tai House (Block 11),錦泰樓 (第11座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,King Tai House (Block 5),景泰樓 (第5座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Kui Tai House (Block 3),居泰樓 (第3座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Ming Tai House (Block 1),明泰樓 (第1座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,On Tai Shopping Centre,安泰商場,,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Shing Tai House (Block 9),盛泰樓 (第9座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Tak Tai House (Block 7),德泰樓 (第7座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Wo Tai House (Block 4),和泰樓 (第4座),,,,,,,,,,,See Appendix I,見附錄I
On Tai Estate,安泰邨,Yung Tai House (Block 10),勇泰樓 (第10座),,,,,,,,,,,See Appendix I,見附錄I
On Tai House,安泰樓,,,,,54 Tonkin St.,東京街54號,,,,,1983,,,
On Tai Mansion,安泰大廈,,,,,"Ground Floor:
63-67 & 71-73 Winslow St.
& 7 Gillies Avenue South.
Upper Floors:
69 Winslow St.","地下︰
溫思勞街63-67及71-73號
及機利士南路7號
樓上各層︰
溫思勞街69號",,,,,1986,,,
On Tak Building,安德大廈,,,,,44/54 Ting Yip St.,定業街44/54號,,,,,1974,P,,
On Tat Building,安達大廈,,,,,"2/2A Kam Fung St. &
17/27C Ngan Fung St.","金鳳街2/2A號及
銀鳳街17/27C號",,,,,1970,P,,
On Tat Estate,安達邨,,,,,3 On Chui St.,安翠街3號,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Chi Tat House (Block 4),智達樓 (第4座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Ching Tat House (Block 11),正達樓 (第11座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Chun Tat House (Block 7),俊達樓 (第7座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Hau Tat House (Block 9),孝達樓 (第9座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Him Tat House (Block 10),謙達樓 (第10座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Lai Tat House (Block 3),禮達樓 (第3座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Oi Tat House (Block 5),愛達樓 (第5座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,"On Tat Shopping Centre
North Wing",安達商場 (北翼),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,"On Tat Shopping Centre
South Wing",安達商場 (南翼),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Shing Tat House (Block 6),誠達樓 (第6座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Sin Tat House (Block 2),善達樓 (第2座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Yan Tat House (Block 1),仁達樓 (第1座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Estate,安達邨,Yin Tat House (Block 8),賢達樓 (第8座),,,,,,,,,,,See Appendix I,見附錄I
On Tat Industrial Building,安達工業大廈,,,,,3/5 Pat Tat St.,八達街3/5號,,,,,1964,P,,
On Tin Centre,安田中心,,,,,1 Sheung Hei St.,雙喜街1號,,,,,2016,,,
On Tin Estate,安田邨,,,,,,,,,,,,,See Appendix I,見附錄I
On Tin Estate,安田邨,"Kai Tin Shopping Centre 
On Tin St. Carpark","啟田商場
安田街停車場",,,,,33 On Tin St. ,安田街33號,,,,,See Appendix I,見附錄I
On Tin Estate,安田邨,On Kin House,安健樓,,,,,39 On Tin St.,安田街39號,,,,,See Appendix I,見附錄I
On Tin Estate,安田邨,On Lai House,安麗樓,,,,,35 On Tin St.,安田街35號,,,,,See Appendix I,見附錄I
On Tung Mansion,安東樓,,,,,34 New Market St.,新街市街34號,,,,,1990,P,,
On Wah Building,安華大廈,,,,,76 & 78 Des Voeux Rd. W.,德輔道西76及78號,,,,,1980,P,,
On Wing Building,安榮大廈,,,,,"Ground Floor:
51, 53 & 59 Bonham Strand
& 79, 81 & 83 Wing Lok St.
Upper Floors:
51/59 Bonham Strand","地下︰
文咸東街51、53及59號
及永樂街79、81及83號
樓上各層︰
文咸東街51/59號",,,,,1986,P,,
On Wo Yuen (Phase I),安和園 (第一期),,,,,,,,,,,1973,P,,
On Wo Yuen (Phase I),安和園 (第一期),On Cheong Building,安昌大廈,,,,,40 Mei Kwong St.,美光街40號,,,,P,,
On Wo Yuen (Phase I),安和園 (第一期),On Hing Building,安慶大廈,,,,,4M Kwei Chow St.,貴州街4M號,,,,P,,
On Wo Yuen (Phase I),安和園 (第一期),On Ning Building,安寧大廈,,,,,30 Mei Kwong St.,美光街30號,,,,P,,
On Wo Yuen (Phase I),安和園 (第一期),On Wo Building,安和大廈,,,,,66 Mei Kwong St.,美光街66號,,,,P,,
On Wo Yuen (Phase II),安和園 (第二期),,,,,,,,,,,1974,P,,
On Wo Yuen (Phase II),安和園 (第二期),On Fook Building,安福大廈,,,,,36 Mei King St.,美景街36號,,,,P,,
On Wo Yuen (Phase II),安和園 (第二期),On Hong Building,安康大廈,,,,,55 Mei King St.,美景街55號,,,,P,,
On Wo Yuen (Phase II),安和園 (第二期),On Lung Building,安隆大廈,,,,,86 Mei King St.,美景街86號,,,,P,,
On Wo Yuen (Phase II),安和園 (第二期),On Ping Building,安平大廈,,,,,39 Mei King St.,美景街39號,,,,P,,
On Wo Yuen (Phase II),安和園 (第二期),On Shun Building,安順大廈,,,,,54 Mei King St.,美景街54號,,,,P,,
On Wo Yuen (Phase II),安和園 (第二期),On Tai Building,安泰大廈,,,,,68 Mei King St.,美景街68號,,,,P,,
On Yin Building,安賢樓,,,,,49/51 Ting Fu St.,定富街49/51號,,,,,1971,P,,
On Ying Mansion,安英大廈,,,,,1136/1142 Canton Rd.,廣東道1136/1142號,,,,,1993,P,,
On Yip Building,安業大廈,,,,,"Ground Floor:
100 & 104 Sai Wan Ho St.
Upper Floors:
102 Sai Wan Ho St.","地下︰
西灣河街100及104號
樓上各層︰
西灣河街102號",,,,,1981,P,,
On Yip Commercial Building,安業商業大廈,,,,,395/397 Shanghai St.,上海街395/397號,,,,,1984,P,,
On Yip Factory Building,安業工廠大廈,,,,,33 Ivy St.,埃華街33號,,,,,1964,P,,
On Yip Lau,安業樓,,,,,"Ground Floor:
207/209 Queen's Rd. C. &
26/28 Jervois St.
Upper Floors:
207/209 Queen's Rd. C.","地下︰
皇后大道中207/209號及
蘇杭街26/28號
樓上各層︰
皇后大道中207/209號",,,,,1969,P,,
On Yuen Building,安遠大廈,,,,,483/485A Nathan Rd.,彌敦道483/485A號,,,,,1965,,,
"One Bay East
Citi Tower
Manulife Tower",宏利大樓,,,,,83 Hoi Bun Rd.,海濱道83號,,,,,2015,,,
One Beacon Hill,畢架山一號,,,,,1 Beacon Hill Rd.,筆架山道1號,,,,,2004,P,,
One Capital Place,海德中心,,,,,18 Luard Rd.,盧押道18號,,,,,1991,,,
One Chinachem Central,華懋中心I期,,,,,22 Des Voeux Rd. C.,德輔道中22號,,,,,2016,,,
One Dundas,,,,,,1 Dundas St.,登打士街1號,,,,,2014,,,
One East Coast,海傲灣,,,,,1 Lei Yue Mun Path,鯉魚門徑1號,,,,,2019,,,
One Elegance,駿豪居,,,,,1 Ma Hang Chung Rd.,馬坑涌道1號,,,,,2009,,,
One Grand Tower,雅蘭中心1期,,,,,639 Nathan Rd.,彌敦道639號,,,,,1986,,,
One Harbour Front,海濱廣場一座,,,,,18 Tak Fung St.,德豐街18號,,,,,1995,,,
One Harbour Gate,,,,,,18 Hung Luen Rd.,紅鸞道18號,,,,,2016,,,
One Harbour Gate,,Cheung Kei Center,祥祺中心,,,,,,,,,,,,
One Harbour Gate,,China Life Center,中國人壽中心 ,,,,,,,,,,,,
One Harbour Square,,,,,,181 Hoi Bun Rd.,海濱道181號,,,,,2013,,,
One Homantin,,,,,,1 Sheung Foo St.,常富街1號,,,,,2017,,,
One Island East,港島東中心,,,,,18 Westlands Rd.,華蘭路18號,,,,,2008,,,
One Kai Tak (I),啟德1號(I),,,,,2 Muk Ning St.,沐寧街2號,,,,,2017,,,
One Kai Tak (II),啟德1號(II),,,,,8 Muk Ning St.,沐寧街8號,,,,,2017,,,
One Knutsford,諾士佛臺一號,,,,,1 Knutsford Terrace,諾士佛臺1號,,,,,1970,,,
One Kowloon ,一號九龍,,,,,1 Wang Yuen St.,宏遠街1號,,,,,2006,,,
One Lasalle,,,,,,1E La Salle Rd.,喇沙利道1E號,,,,,2009,,,
One Madison,,,,,,305 Castle Peak Rd.,青山道305號,,,,,2008,P,,
One Mayfair,逸瓏,,,,,1 Broadcast Drive,廣播道1號,,,,,2011,,,
"One Mong Kok Road
Commercial Centre",旺角道壹號商業中心,,,,,1 Mong Kok Rd.,旺角道 1 號,,,,,1995,,,
One New York,,,,,,468 Castle Peak Rd.,青山道468號,,,,,2007,,,
One Pacific Centre,1亞太中心,,,,,414 Kwun Tong Rd.,觀塘道414號,,,,,2012,,,
One Pacific Heights,盈峰一號,,,,,1 Wo Fung St.,和風街1號,,,,,2009,,,
One Peking,北京道一號,,,,,1 Peking Rd.,北京道1號,,,,,2003,,,
One Prestige,尚譽,,,,,1 Yuet Yuen St.,月園街1號,,,,,2018,,,
One Silversea,一號銀海,,,,,18 Hoi Fai Rd.,海輝道18號,,,,,2006,,,
One South Lane,壹號南里,,,,,1 South Lane,南里1號,,,,,2016,P,,
One Victory,勝利道1號,,,,,"1, 1A & 3 Victory Avenue",勝利道1、1A及3號,,,,,2011,,,
One Wanchai,壹環,,,,,1 Wan Chai Rd.,灣仔道1號,,,,,2012,,,
One West Kowloon,一號‧西九龍,,,,,873 Lai Chi Kok Rd.,荔枝角道873號,,,,,2013,,,
One．Artlane,藝里坊．1號,,,,,8 Chung Ching St.,忠正街8號,,,,,2019,,,
Onshine Commercial Building,朗盈商業大廈,,,,,10 Tung Sing Rd.,東勝道10號,,,,,1991,P,,
Onward Building,康祐大廈,,,,,528 Nathan Rd.,彌敦道528號,,,,,1974,,,
Onward Court,安華閣,,,,,8 Marigold Rd.,壽菊路8號,,,,,1979,P,,
Oootapia West,活託邦 西環,,,,,10 Yat Fu Lane,日富里10號,,,,,2018,,,
Opulent Building,德興大廈,,,,,396/416 Hennessy Rd.,軒尼詩道396/416號,,,,,1977,,,
E Tech Centre,智德中心電腦商場,,,,,402/406 Hennessy Rd.,軒尼詩道402/406號,,,,,,,,
Opus Hong Kong,傲璇,,,,,53 Stubbs Rd.,司徒拔道53號,,,,,2011,,,
Orchid,,,,,,22 Mosque St.,摩羅廟街22號,,,,,1996,,,
Orchid Court,安蘭閣,,,,,38 Tung On St.,東安街38號,,,,,1997,,,
Orchid Garden,秀蘭苑,,,,,7 Tat Chee Avenue,達之路7號,,,,,1990,P,,
Orchid House,芝蘭樓,,,,,"167/173A Sai Yeung
Choi St. N.","西洋菜北街
167/173A號",,,,,1964,P,,
Orchid Valley,蘭苑,,,,,26 Shouson Hill Rd.,壽山村道26號,,,,,1977,P,,
Orient Crest,,,,,,76 Peak Rd.,山頂道76號,,,,,1985,,,
Oriental Centre,安年大廈,,,,,67/71 Chatham Rd. S.,漆咸道南67/71號,,,,,1975,P,,
Oriental Commercial Building,東聯商業大廈,,,,,4 Tung Fong St.,東方街4號,,,,,1993,,,
"Oriental Crystal Commercial
Building",中晶商業大廈,,,,,46 Lyndhurst Terrace,擺花街46號,,,,,1994,,,
Oriental Crystal Finance Centre,中晶金融中心,,,,,107/109 Chatham Rd. S.,漆咸道南107/109號,,,,,1995,,,
Oriental Daily News Building,東方報業大廈,,,,,6 Kwei Chow St.,貴州街6號,,,,,1971,P,,
Oriental Gardens,東方花園,,,,,"Ground Floor:
10/14 Duke St.
1 Knight St. & 236/238
Prince Edward Rd. W.
Upper Floors:
10/14 Duke St.","地下︰
公爵街10/14號
勵德街1號及太子道西
236/238號
樓上各層︰
公爵街10/14號",,,,,1967,P,,
Oriental House,東方大廈,,,,,24/26 Argyle St.,亞皆老街24/26號,,,,,1959,,,
Orion Court,獵苑,,,,,17 Ede Rd.,義德道17號,,,,,1960,P,,
Orlins Court,雅蘭閣,,,,,419S Queen's Rd. W.,皇后大道西419S號,,,,,1973,P,,
Oscar Court,黃禮賢大廈,,,,,232/242 Fa Yuen St.,花園街232/242號,,,,,1972,P,,
Osmanthus Court,丹桂閣,,,,,14 Osmanthus Rd.,丹桂路14號,,,,,1977,P,,
Osmanthus Court,富澤苑,,,,,5 Osmanthus Rd.,丹桂路5號,,,,,1986,P,,
"Our Lady of China Catholic
Primary School",天主教佑華小學,,,,,"18 Tsui Ping Rd.,
Tsui Ping (South) Estate","翠屏(南)邨
翠屏道18號",,,,,-,,,
Our Lady of Maryknoll Hospital,聖母醫院,,,,,118 Shatin Pass Rd.,沙田道118號,,,,,1961,,,
Our Lady of the Rosary College,聖母玫瑰書院,,,,,22 Rose St.,玫瑰街22號,,,,,1972,,,
Our Lady's College,聖母書院,,,,,"116 Shatin Pass Rd. &
3 Lung Fung St.","沙田道116號及
龍鳳街3號",,,,,1963,,,
Our Lady's Kindergarten,聖母幼稚園,,,,,113 Shatin Pass Rd.,沙田道113號,,,,,-,,,
Our Lady's Primary School,聖母小學,,,,,116 Shatin Pass Rd.,沙田道116號,,,,,1963,,,
Overbays,,,,,,71 Repulse Bay Rd.,淺水灣道71號,,,,,1982,P,,
Overseas Building,海外大廈,,,,,417/421 Hennessy Rd.,軒尼詩道417/421號,,,,,1971,,,
Overseas Court,僑園,,,,,144/144G Boundary St.,界限街144/144G號,,,,,1957,,,
Overseas Trust Bank Building,海外信託銀行大廈,,,,,51/57 Des Voeux Rd. W.,德輔道西51/57號,,,,,1969,P,,
Overthorpe,,,,,,24-28 Mount Austin Rd.,柯士甸山道24-28號,,,,,1986,P,,
OVEST,,,,,,77 Wing Lok St.,永樂街77號,,,,,1997,,,
Ovolo,,,,,,2 Arbuthnot Rd.,亞畢諾道2號,,,,,1995,,,
Ovolo ,,,,,,111 High St.,高街111號,,,,,1997,,,
Ovolo ,,,,,,222 Hollywood Rd.,荷李活道222號,,,,,1995,,,
Ovolo ,,,,,,286 Queen’s Rd. C.,皇后大道中286號,,,,,1999,,,
Ovolo Southside,奧華酒店-南岸,,,,,64 Wong Chuk Hang Rd.,黃竹坑道64號,,,,,1980,,,
Oxford Commercial Building,晉利商業大廈,,,,,494/496 Nathan Rd.,彌敦道494/496號,,,,,1974,,,
Oxford Court,豐林閣,,,,,24 & 26 Braemar Hill Rd.,寶馬山道24及26號,,,,,1976,P,,
Oxford Garden,晉利花園,,,,,18 Cornwall St.,歌和老街18號,,,,,1977,,,
Oxford Heights,博林軒,,,,,12 Fuk Lo Tsun Rd.,福佬村道12號,,,,,2005,,,
Oxford House,牛津屋,,,,,17 Oxford Rd.,牛津道17號,,,,,1995,,,
Oxford Place,豪津苑,,,,,3 Oxford Rd.,牛津道3號,,,,,1998,,,
OZO Wesley,遨舍衛蘭軒,,,,,22 Hennessy Rd.,軒尼詩道22號,,,,,1991,,,
Pacific Building,太平洋大廈,,,,,65/67B Kimberley Rd.,金巴利道65/67B號,,,,,1961,P,,
"Pacific Century Insurance
Building (Office Tower II)",盈科保險大廈 (寫字樓二座),,,,,193 Prince Edward Rd. W.,太子道西193號,,,,,1997,,,
Pacific Club Kowloon,九龍太平洋會,,,,,Kowloon Inland Lot 11179,九龍內地段第11179號,,,,,1990,,,
Pacific House,太平行,,,,,20/20B Queen's Rd. C.,皇后大道中20/20B號,,,,,1964,,,
Pacific Mansion,太平洋大廈,,,,,172/174 Nathan Rd.,彌敦道172/174號,,,,,1972,,,
Pacific Palisades,寶馬山花園,,,,,1 Braemar Hill Rd.,寶馬山道1號,,,,,1991,,,
Pacific Place,太古廣場,,,,,88 Queensway,金鐘道88號,,,,,,,,
Pacific Place,太古廣場,Conrad International Hong Kong,港麗酒店,,,,,,,,,1990,,,
Pacific Place,太古廣場,Island Shangri-La,港島香格里拉大酒店,,,,,,,,,1990,,,
Pacific Place,太古廣場,J.W. Marriott Hotel,萬豪酒店,,,,,,,,,1990,,,
Pacific Place,太古廣場,One Pacific Place,太古廣場一座,,,,,,,,,1988,,,
Pacific Place,太古廣場,Pacific Place Apartments,,,,,,,,,,1990,,,
Pacific Place,太古廣場,The Atrium,曦暹軒,,,,,,,,,1988,,,
Pacific Place,太古廣場,Three Pacific Place,太古廣場三座,,,,,,,,,2003,,,
Pacific Place,太古廣場,Two Pacific Place,太古廣場二座,,,,,,,,,1988,,,
Pacific Plaza,太平洋廣場,,,,,418 Des Voeux Rd. W.,德輔道西418號,,,,,1992,,,
Pacific Star Building,海星大廈,,,,,2 Canton Rd.,廣東道2號,,,,,1983,,,
Pacific Trade Centre,太平洋貿易中心,,,,,2 Kai Hing Rd.,啟興道2號,,,,,1990,P,,
Pacific View,海暉花園,,,,,22 Cape Rd.,環角道22號,,,,,1987,,,
Pacific View,浪琴園,,,,,38 Tai Tam Rd.,大潭道38號,,,,,1990,P,,
Padek Palace,栢德豪廷,,,,,377 Prince Edward Rd. W.,太子道西377號,,,,,2004,P,,
Pak Cheung Building,百祥大樓,,,,,"295/297 Lai Chi Kok Rd. &
43/45 Pei Ho St.","荔枝角道295/297號及
北河街43/45號",,,,,1964,P,,
Pak Cheung Building,百祥大廈,,,,,30/34 Tung Choi St.,通菜街30/34號,,,,,1960,,,
Pak Cheung Building,百祥大廈,,,,,"59-65 Shantung St.
41A-41B Fa Yuen St. &
26-28 Tung Choi St.","山東街59-65號
花園街41A-41B號及
通菜街26-28號",,,,,1960,P,,
Pak Fai Mansion,百輝大廈,,,,,72 MacDonnell Rd.,麥當勞道72號,,,,,1960,P,,
Pak Far Building,白花大廈,,,,,"156-158 Tai Po Rd. &
51-55 Shek Kip Mei St.","大埔道156-158號及
石硤尾街51-55號",,,,,1957,P,,
Pak Fook Building,百福樓,,,,,208/212 Queen's Rd. E.,皇后大道東208/212號,,,,,1967,,,
Pak Fuk Building,百福大廈,,,,,80/118 Kam Ping St.,錦屏街80/118號,,,,,1962,P,,
Pak Ho Building,百好樓,,,,,37 Tak Ku Ling Rd.,打鼓嶺道37號,,,,,1985,,,
Pak Hoo Mansion,百好大樓,,,,,554/560 Queen's Rd. W.,皇后大道西554/560號,,,,,1968,P,,
Pak Kin Building,栢堅大廈,,,,,288 Ma Tau Wai Rd.,馬頭圍道288號,,,,,1966,P,,
Pak Kok Building,北角小樓,,,,,19/21A North Point Rd.,北角道19/21A號,,,,,1969,P,,
Pak Lee Building,百利大廈,,,,,6/8 King's Rd.,英皇道6/8號,,,,,1961,P,,
Pak Lee Building,百利樓,,,,,65 Lion Rock Rd.,獅子石道65號,,,,,1984,,,
Pak Ling Building,百玲大廈,,,,,368/374 Lockhart Rd.,駱克道368/374號,,,,,1967,P,,
Pak Ling Mansion,百寧大廈,,,,,5/11 Miu Tung St.,廟東街5/11號,,,,,1965,P,,
Pak Lok Building,百樂大廈,,,,,322/326A Nathan Rd.,彌敦道322/326A號,,,,,1964,P,,
Pak Lok House,百樂大樓,,,,,"Ground Floor:
19/21 Shung Ling St.
Upper Floors:
19/21 Shung Ling St. &
1 Yi Lun St.","地下︰
崇齡街19/21號
樓上各層︰
崇齡街19/21號及
彝倫街1號",,,,,1970,P,,
Pak On Building,百安大廈,,,,,"105 Austin Rd. &
1A Tak Shing St.","柯士甸道105號及
德成街1A號",,,,,1963,P,,
Pak Po Mansions,百寶大廈,,,,,"Ground Floor:
155/161A Sai Yee St. &
80, 84 Bute St.
Upper Floors:
82 Bute St.","地下︰
洗衣街155/161A號及
弼街80、84號
樓上各層︰
弼街82號",,,,,1963,P,,
Pak Sha Wan Correctional Institution,白沙灣懲教所,,,,,101 Tung Tau Wan Rd.,東頭灣道101號,,,,,-,,,
Pak Shing Building,百成唐樓,,,,,168/174 Tung Lo Wan Rd.,銅鑼灣道168/174號,,,,,1970,P,,
Pak Shing Building,百誠大廈,,,,,"Ground Floor:
31-37 Jordan Rd. &
75 Parkes St.
Upper Floors:
31/37 Jordan Rd.","地下︰
佐敦道31-37號及
白加士街75號
樓上各層︰
佐敦道31/37號",,,,,1977,P,,
Pak Sing Building,百勝大廈,,,,,27/41 Tong Mi Rd.,塘尾道27/41號,,,,,1987,P,,
Pak Tai Mansion,北帝大廈,,,,,2-16 Pak Tai St.,北帝街2-16號,,,,,1962,P,,
Pak Tak Building,八達大廈,,,,,51 Jardine's Bazaar,渣甸街51號,,,,,1988,P,,
Pak Tat Mansion,百達大廈,,,,,"Ground Floor:
6/6C Nanking St. &
86/90 Parkes St.
Upper Floors:
6 Nanking St.","地下︰
南京街6/6C號及
白加士街86/90號
樓上各層︰
南京街6號",,,,,1962,P,,
Pak Tin Ambulance Depot,白田救護站,,,,,50 Pak Wan St.,白雲街50號,,,,,-,,,
Pak Tin Catholic Primary School,白田天主教小學,,,,,Pak Tin Estate,白田邨,,,,,-,,,
Pak Tin Estate,白田邨,,,,,51 Pak Tin St.,白田街51號,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,"Block 9-11,& 13",第9-11及13座,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Chak Tin House,澤田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Cheung Tin House,昌田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Fu Tin House,富田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Lai Tin House,麗田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,On Tin House,安田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Shing Tin House,盛田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Shui Tin House,瑞田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Tai Tin House,太田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Tsui Tin House,翠田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Wan Tin House,運田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Yue Tin House ,裕田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Estate,白田邨,Yun Tin House,潤田樓,,,,,,,,,,,See Appendix I,見附錄I
Pak Tin Shopping Centre,白田購物中心,,,,,1-3 Wai Chi Lane,偉智里1-3號,,,,,1980,P,,
Pak Tsz Building,百子樓,,,,,1/2 Pak Tsz Lane,百子里1/2號,,,,,1969,,,
Pak Wing Building,栢榮大廈,,,,,"180-182 Wing Lok St. &
64 New Market St.","永樂街180-182號及
新街市街64號",,,,,1987,,,
Pak Yuk Lau,白玉樓,,,,,1 Wai Chi Lane,偉智里1號,,,,,1980,P,,
Pakpolee Commercial Centre,百寶利商業中心,,,,,1A Sai Yeung Choi St. S.,西洋菜南街1A號,,,,,1984,,,
Palace Garden,碧麗園,,,,,163 Argyle St.,亞皆老街163號,,,,,1978,P,,
Palace Mall K11 Musea,,,,,,"12 Salisbury Rd.

",梳土巴利道12號,,,,,1996,,,
Palatial Crest,輝煌豪園,,,,,3 Seymour Rd.,西摩道3號,,,,,2000,,,
Palatial Stand,俊暉華庭,,,,,118 Wuhu St.,蕪湖街118號,,,,,2001,P,,
Palm Court,聚安閣,,,,,15 Tsui Man St.,聚文街15號,,,,,1997,P,,
Palm Court,,,,,,55 Robinson Rd.,羅便臣道55號,,,,,1965,P,,
"Pamela Youde Nethersole
Eastern Hospital",東區尤德夫人那打素醫院,,,,,3 Lok Man Rd.,樂民道3號,,,,,-,,,
"Pamela Youde Nethersole
Eastern Hospital",東區尤德夫人那打素醫院,Senior Staff Quarters Blk F,高級職員宿舍F座,,,,,,,,,,,,
Pan Asia Centre,泛亞中心,,,,,137 Wai Yip St.,偉業街137號,,,,,1994,,,
Pan View Court,觀海閣,,,,,162 Third St.,第三街162號,,,,,1996,P,,
Panarama Terrace,蕙園,,,,,12 South Bay Rd.,南灣道12號,,,,,1977,P,,
Pang Ching Court,鵬程苑,,,,,6 Chui Chuk St.,翠竹街6號,,,,,1991,P,See Appendix IV,見附錄IV
Pang Fat Lau,彭發樓,,,,,130 Stanley Main St.,赤柱大街130號,,,,,1992,,,
Pang Kwong Building,鵬光大廈,,,,,59 Hung To Rd.,鴻圖道59號,,,,,1988,P,,
Panny Court,鵬麗閣,,,,,5 Village Rd.,山村道5號,,,,,1992,P,,
Panorama,全景大廈,,,,,15 Conduit Rd.,干德道15號,,,,,1961,,,
Panorama Court,榮光第,,,,,22/24 Beacon Hill Rd.,畢架山道22/24號,,,,,1973,,,
Panorama Court,金豪閣,,,,,25 Hong Lee Rd.,康利道25號,,,,,1974,P,,
Panorama Gardens,景雅花園,,,,,103 Robinson Rd.,羅便臣道103號,,,,,1989,P,,
Pao Fung Mansion,寶豐大廈,,,,,"Ground Floor:
245 Lai Chi Kok Rd.
Upper Floors:
54 Nam Cheong St.","地下︰
荔枝角道245號
樓上各層︰
南昌街54號",,,,,1971,P,,
Pao Woo Mansion,保和大廈,,,,,"Ground Floor:
177/179 Wan Chai Rd. &
51 Cross Lane
Upper Floors:
177/179 Wan Chai Rd.","地下︰
灣仔道177/179號及
交加里51號
樓上各層︰
灣仔道177/179號",,,,,1972,P,,
Pao Yip Building,寶業大廈,,,,,1/7 Ship St.,船街1/7號,,,,,1983,P,,
Pao Yue Kong Swimming Pool,包玉剛游泳池,,,,,2 Shum Wan Rd.,深灣道2號,,,,,-,,,
Paradise Mall,杏花新城,,,,,"100 Shing Tai Rd.,
Heng Fa Chuen","杏花邨
盛泰道100號",,,,,1986,,,
Paradise Square,百利達廣場,,,,,3 Kwong Wa St.,廣華街3號,,,,,2003,P,,
Paramount Building,百樂門大廈,,,,,12 Ka Yip St.,嘉業街12號,,,,,1990,P,,
Paramount Mansion,萬壽大廈,,,,,2 Shan Kwong Rd.,山光道2號,,,,,1979,P,,
Paramount Mansion,高發大廈,,,,,387-393A Chatham Rd. N.,漆咸道北387-393A號,,,,,1965,P,,
Parc 22,22居,,,,,22 Sung Wong Toi Rd.,宋皇臺道22號,,,,,1998,P,,
Parc Inverness,賢文禮士,,,,,38 Inverness Rd.,延文禮士道38號,,,,,2016,,,
Parc Oasis,又一居,,,,,"1-21 Parc Oasis Rd.
35-51 Tat Chee Avenue
21-37 Grandeur Rd.","又一居路1-21號
達之路35-51號
瑰麗路21-37號",,,,,1992,P,,
