Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
Alice Court,雅麗園,,,,,43 Broadcast Drive,廣播道43號,,,,,1971,P,,
All Fit Garden,百合苑,,,,,20/22 Bonham Rd.,般咸道20/22號,,,,,1993,P,,
All Saints' Church,諸聖堂,,,,,2 Yim Po Fong St.,染布房街2號,,,,,1950,,,
Alliance Building,誠信大廈,,,,,"Ground Floor:
130-132 & 134-136
Connaught Rd. C.
Upper Floors:
133 Connaught Rd. C.","地下︰
干諾道中130-132及
134-136號
樓上各層︰
干諾道中133號",,,,,1975,P,,
"Alliance Primary School
Kowloon Tong",九龍塘宣道小學,,,,,2 Lancashire Rd.,蘭開夏道2號,,,,,-,,,
"Alliance Primary School
Tai Hang Tung",大坑東宣道小學,,,,,13 Tong Yam St.,棠蔭街13號,,,,,-,,,
Alliance Primary School Whampoa,黃埔宣道小學,,,,,21 Tak Fung St.,德豐街21號,,,,,-,,,
Allied Kajima Building,聯合鹿島大廈,,,,,138 Gloucester Rd.,告士打道138號,,,,,1990,,,
Allied Plaza,聯合廣場,,,,,"G/F – 3/F:
760 Nathan Rd.","地下至3樓 :
彌敦道760號",,,,,1973,,,
Allways Centre,百達中心,,,,,468 Jaffe Rd.,謝斐道468號,,,,,1995,P,,
Alpha Court,雅苑,,,,,95/99 Tai Hang Rd.,大坑道95/99號,,,,,1959,P,,
Alpha House,良士大廈,,,,,27/33 Nathan Rd.,彌敦道27/33號,,,,,1964,P,,
Alpine 18,高山18,,,,,18 Ko Shan Rd.,高山道18號,,,,,2020,,,
Alpine Court,嘉賢大廈,,,,,12 Kotewall Rd.,旭龢道12號,,,,,1971,P,,
Altadena House,,,,,,27 Barker Rd.,白加道27號,,,,,1974,,,
Altro,懿山,,,,,"Ground Floor:
118 Second St.
Upper Floors:
116 Second St.","地下︰
第二街118號
樓上各層︰
第二街116號",,,,,2014,,,
Amber Commercial Building,凱利商業大廈,,,,,"Ground Floor:
70-72 Morrison Hill Rd.
Upper Floors:
74 Morrison Hill Rd.","地下︰
摩理臣山道70-72號
樓上各層︰
摩理臣山道74號",,,,,1980,,,
Amber Garden,安碧苑,,,,,110 Blue Pool Rd.,藍塘道110號,,,,,1976,,,
Amber Garden,珀苑,,,,,70-72 Kennedy Rd.,堅尼地道70-72號,,,,,1981,P,,
Amber House,安寶樓,,,,,"Ground Floor:
777, 777A, 779 &
781 Nathan Rd.
Upper Floors:
777/781 Nathan Rd.","地下︰
彌敦道777、777A、
779及781號
樓上各層︰
彌敦道777/781號",,,,,1978,P,,
Amber Lodge,金珀苑,,,,,23 Hollywood Rd.,荷李活道23號,,,,,1998,,,
Amber Lodge,金碧園,,,,,40/52 Mount Butler Drive,畢拉山徑40/52號,,,,,1971,P,,
Amber Lodge,金碧園,,,,,50 Mount Butler Drive,畢拉山徑50號,,,,,2014,,,
American International School,美國國際學校,,,,,121 Waterloo Rd.,窩打老道121號,,,,,-,,,
Amigo Mansion,雅谷大廈,,,,,79A Wong Nai Chung Rd.,黃泥涌道79A號,,,,,1975,P,,
Amity House,友群大廈,,,,,2/8 Hop Yat Rd.,合一道2/8號,,,,,1958,,,
Amoy Building,廈門樓,,,,,29 & 31 Amoy St.,廈門街29及31號,,,,,1977,,,
Amoy College,閩光書院,,,,,14 Tin Kwong Rd.,天光道14號,,,,,1957,,,
Amoy College Kindergarten,閩光書院幼稚園部,,,,,14 Tin Kwong Rd.,天光道14號,,,,,1957,,,
Amoy Gardens,淘大花園,,,,,77 Ngau Tau Kok Rd.,牛頭角道77號,,,,,1981,,,
Amoy Plaza,淘大商場,,,,,77 Ngau Tau Kok Rd.,牛頭角道77號,,,,,1981,,,
Ample Building,仁寶大廈,,,,,"Basement:
1 Woh Chai St.
Ground &
Upper Ground Floors:
1, 5-9 &13 Woh Chai St.
Upper Floors:","地庫︰
窩仔街1號
地下及
地下高層︰
窩仔街1、5-9及13號
樓上各層︰",,,,,1980,P,,
East Block,東座,,,,,3 Woh Chai St.,窩仔街3號,,,,,,P,,
West Block,西座,,,,,11 Woh Chai St.,窩仔街11號,,,,,,P,,
Amtel Building,安泰大廈,,,,,144-148 Des Voeux Rd. C.,德輔道中144-148號,,,,,1984,,,
"Anchor Street Playground and 
Anchor Street Playground
Public Toilet",晏架街遊樂場及晏架街遊樂場公厠,,,,,53 Anchor St.,晏架街53號,,,,,-,,,
"Anchor Street Sewage Pumping
Station",晏架街污水泵房,,,,,95 Anchor St.,晏架街95號,,,,,-,,,
Andes Plaza,安達中心,,,,,323 Queen's Rd. W.,皇后大道西323號,,,,,1994,P,,
Angela Court,雅趣苑,,,,,21 Magnolia Rd.,玉蘭路21號,,,,,1979,P,,
Angie Court,雅緻園,,,,,2 Stirling Rd.,士他令道2號,,,,,1979,P,,
Anho House,安豪樓,,,,,"Ground Floor:
22, 24 & 28 Nullah Rd.
Upper Floors:
26 Nullah Rd.","地下︰
水渠道22、24及28號
樓上各層︰
水渠道26號",,,,,1978,P,,
Ann Gardens,安苑,,,,,29 Shouson Hill Rd.,壽山村道29號,,,,,1973,,,
Anne Black Health Centre,柏立基夫人健康院,,,,,140 Tsat Tsz Mui Rd.,七姊妹道140號,,,,,-,,,
Anson House,安順大廈,,,,,13/19A Lock Rd.,樂道13/19A號 ,,,,,1963,P,,
Anton Building,安定大廈,,,,,1 Anton St.,晏頓街1號,,,,,1984,P,,
Antonia House,安廬,,,,,4-12 Broom Rd.,蟠龍道4-12號,,,,,1963,P,,
Antung Building,安東大廈,,,,,6/16 Tai Wong St. E.,大王東街6/16號,,,,,1974,P,,
AOG St. Hilary's College,神召會德萃書院,,,,,91 Po Kong Village Rd.,蒲崗村道91號,,,,,-,,,
Aoi Pui School,愛培學校,,,,,16 Station Lane,差館里16號,,,,,-,,,
Ap Lei Chau Centre,鴨脷洲中心,,,,,138 Lee Chi Rd.,利枝道138號,,,,,1983,P,,
Ap Lei Chau Clinic,鴨脷洲診所,,,,,"161 Main St., Ap Lei Chau",鴨洲大街161號,,,,,-,,,
Ap Lei Chau Estate,鴨脷洲邨,,,,,,,,,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,Ap Lei Chau Community Hall,鴨脷洲社區會堂,,,,,328 Ap Lei Chau Bridge Rd.,鴨脷洲橋道328號,,,,,See Appendix I,見附錄I
